Type;Base Entity                         ;Rel ;Type;Target Entity
SECT;User-Interfaces                     ;USES;DATA;customer
SECT;User-Interfaces                     ;USES;DATA;order
SECT;User-Interfaces                     ;USES;DATA;customer_number
SECT;User-Interfaces                     ;USES;DATA;data
SECT;User-Interfaces                     ;USES;DATA;customer_number
SECT;User-Interfaces                     ;USES;DATA;customer_number
SECT;User-Interfaces                     ;EXEC;TEST;ORDERS0061
SECT;User-Interfaces                     ;USES;DATA;customer_number
SECT;User-Interfaces                     ;USES;DATA;customer_name
SECT;User-Interfaces                     ;USES;DATA;customer_name
SECT;User-Interfaces                     ;USES;DATA;customer_name
SECT;User-Interfaces                     ;USES;DATA;order_number
SECT;User-Interfaces                     ;USES;DATA;order_number
SECT;User-Interfaces                     ;USES;DATA;order_number
SECT;User-Interfaces                     ;USES;DATA;order_items
SECT;User-Interfaces                     ;USES;DATA;order_items
SECT;User-Interfaces                     ;USES;DATA;order_items
SECT;User-Interfaces                     ;USES;DATA;order_item
SECT;User-Interfaces                     ;USES;DATA;data
SECT;User-Interfaces                     ;USES;DATA;order_item_number
SECT;User-Interfaces                     ;USES;DATA;order_item_number
SECT;User-Interfaces                     ;EXEC;TEST;ORDERS0062
SECT;User-Interfaces                     ;USES;DATA;order_item_number
SECT;User-Interfaces                     ;USES;DATA;article_number
SECT;User-Interfaces                     ;USES;DATA;article_number
SECT;User-Interfaces                     ;USES;DATA;order_item_amount
SECT;User-Interfaces                     ;USES;DATA;order_item_amount
SECT;User-Interfaces                     ;USES;DATA;customer_order
SECT;User-Interfaces                     ;USES;DATA;order_number
SECT;User-Interfaces                     ;USES;DATA;order_date
SECT;User-Interfaces                     ;EXEC;TEST;ORDERS0063
SECT;User-Interfaces                     ;USES;DATA;customer_order_confirmation
SECT;User-Interfaces                     ;USES;DATA;order
SECT;User-Interfaces                     ;USES;DATA;error
SECT;User-Interfaces                     ;USES;DATA;message
SECT;User-Interfaces                     ;EXEC;TEST;ORDERS0064
SECT;User-Interfaces                     ;USES;DATA;customer_number
SECT;User-Interfaces                     ;USES;DATA;customer_number
SECT;User-Interfaces                     ;USES;DATA;order_number
SECT;User-Interfaces                     ;USES;DATA;order_number
SECT;User-Interfaces                     ;USES;DATA;confirmation_message
SECT;User-Interfaces                     ;USES;DATA;confirmation_message
SECT;User-Interfaces                     ;USES;DATA;error_message
SECT;User-Interfaces                     ;USES;DATA;error_message
SECT;User-Interfaces                     ;USES;DATA;user
SECT;User-Interfaces                     ;USES;DATA;process
SECT;User-Interfaces                     ;EXEC;TEST;ORDERS0065
SECT;User-Interfaces                     ;USES;DATA;invoices
SECT;User-Interfaces                     ;USES;DATA;invoices
SECT;User-Interfaces                     ;USES;DATA;invoices
SECT;User-Interfaces                     ;USES;DATA;supply_orders
SECT;User-Interfaces                     ;USES;DATA;supply_orders
SECT;User-Interfaces                     ;EXEC;TEST;ORDERS0066
SECT;User-Interfaces                     ;USES;DATA;supply_orders
SECT;User-Interfaces                     ;USES;DATA;process
SECT;User-Interfaces                     ;USES;DATA;process
SECT;User-Interfaces                     ;EXEC;TEST;ORDERS0067
SECT;User-Interfaces                     ;USES;DATA;process
SECT;User-Interfaces                     ;USES;DATA;contents
SECT;User-Interfaces                     ;USES;DATA;page
SECT;User-Interfaces                     ;EXEC;TEST;ORDERS0068
SECT;User-Interfaces                     ;USES;DATA;date
SECT;User-Interfaces                     ;USES;OBJT;date
SECT;User-Interfaces                     ;USES;REPO;type
DOCU;OrderEntry                          ;OWNS;SECT;System-Reports
SECT;System-Reports                      ;USES;DATA;system
SECT;System-Reports                      ;USES;DATA;dispatch_order
SECT;System-Reports                      ;EXEC;TEST;ORDERS0069
SECT;System-Reports                      ;USES;DATA;OrderNumber
SECT;System-Reports                      ;USES;OBJT;OrderNumber
SECT;System-Reports                      ;USES;DATA;CustomerNumber
SECT;System-Reports                      ;USES;OBJT;CustomerNumber
SECT;System-Reports                      ;USES;DATA;ArticleNumber
SECT;System-Reports                      ;USES;OBJT;ArticleNumber
SECT;System-Reports                      ;USES;DATA;ArticleName
SECT;System-Reports                      ;USES;OBJT;ArticleName
SECT;System-Reports                      ;USES;DATA;OrderAmount
SECT;System-Reports                      ;USES;OBJT;OrderAmount
SECT;System-Reports                      ;USES;DATA;supply_order
SECT;System-Reports                      ;USES;DATA;SupplyOrderNumber
SECT;System-Reports                      ;USES;OBJT;SupplyOrderNumber
SECT;System-Reports                      ;USES;DATA;SupplierNumber
SECT;System-Reports                      ;USES;OBJT;SupplierNumber
SECT;System-Reports                      ;USES;DATA;ArticleNumber
SECT;System-Reports                      ;USES;OBJT;ArticleNumber
SECT;System-Reports                      ;USES;DATA;ArticleName
SECT;System-Reports                      ;USES;OBJT;ArticleName
SECT;System-Reports                      ;USES;DATA;SupplyAmount
SECT;System-Reports                      ;USES;OBJT;SupplyAmount
SECT;System-Reports                      ;USES;DATA;invoice
SECT;System-Reports                      ;USES;DATA;InvoiceNumber
SECT;System-Reports                      ;USES;OBJT;InvoiceNumber
SECT;System-Reports                      ;USES;DATA;CustomerNumber
SECT;System-Reports                      ;USES;OBJT;CustomerNumber
SECT;System-Reports                      ;USES;DATA;CustomerName
SECT;System-Reports                      ;USES;OBJT;CustomerName
SECT;System-Reports                      ;USES;DATA;CustomerAddress
SECT;System-Reports                      ;USES;OBJT;CustomerAddress
SECT;System-Reports                      ;USES;DATA;OrderNumber
SECT;System-Reports                      ;USES;OBJT;OrderNumber
SECT;System-Reports                      ;USES;DATA;BillingItems(10)
SECT;System-Reports                      ;USES;OBJT;BillingItems(10)
SECT;System-Reports                      ;USES;DATA;BillingItemNumber
SECT;System-Reports                      ;USES;OBJT;BillingItemNumber
SECT;System-Reports                      ;USES;DATA;ArticleNumber
SECT;System-Reports                      ;USES;OBJT;ArticleNumber
SECT;System-Reports                      ;USES;DATA;ArticleName
SECT;System-Reports                      ;USES;OBJT;ArticleName
SECT;System-Reports                      ;USES;DATA;Ordermount
SECT;System-Reports                      ;USES;OBJT;Ordermount
SECT;System-Reports                      ;USES;DATA;list
SECT;System-Reports                      ;USES;DATA;back_orders
SECT;System-Reports                      ;EXEC;TEST;ORDERS0070
SECT;System-Reports                      ;USES;DATA;OrderNumber
SECT;System-Reports                      ;USES;OBJT;OrderNumber
SECT;System-Reports                      ;USES;DATA;CustomerNumber
SECT;System-Reports                      ;USES;OBJT;CustomerNumber
SECT;System-Reports                      ;USES;DATA;CustomerName
